Publishing_Year,Genre,Publisher,Author_Rating,average_rating
-380,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.900000
-430,Classics,"Hachette Book Group",Intermediate,3.670000
-441,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.600000
-560,Classics,"Amazon Digital Services,  Inc.",Excellent,4.050000
1308,Classics,"Amazon Digital Services,  Inc.",Excellent,4.060000
1320,Classics,"Hachette Book Group",Intermediate,3.990000
1390,"Literary Fiction","Amazon Digital Services,  Inc.",Novice,3.480000
1593,Classics,"Hachette Book Group",Intermediate,3.810000
1596,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.780000
1599,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.650000
1601,Classics,"Penguin Group (USA) LLC",Intermediate,3.970000
1603,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.890000
1605,Classics,"Hachette Book Group",Intermediate,3.850000
1623,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.800000
1667,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.800000
1678,Classics,"Penguin Group (USA) LLC",Intermediate,3.980000
1759,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.760000
1812,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.310000
1812,Adventure,"Amazon Digital Services,  Inc.",Intermediate,3.920000
1823,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.360000
1826,"Historical Fiction","Amazon Digital Services,  Inc.",Intermediate,3.690000
1830,Essays/Journalism,"Random House LLC",Excellent,4.370000
1831,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.970000
1835,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.280000
1847,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.760000
1848,Essays/Journalism,"Amazon Digital Services,  Inc.",Intermediate,3.510000
1849,Classics,"Hachette Book Group",Intermediate,3.960000
1852,"Historical Fiction",HarperCollins,Intermediate,3.830000
1853,Biography/Autobiography/Memoir,"Random House LLC",Excellent,4.150000
1853,Classics,HarperCollins,Intermediate,4.000000
1854,Classics,"Amazon Digital Services,  Inc.",Excellent,4.130000
1854,Essays/Journalism,"Random House LLC",Intermediate,3.790000
1856,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.640000
1859,Mystery,"Amazon Digital Services,  Inc.",Intermediate,3.980000
1859,Essays/Journalism,HarperCollins,Intermediate,3.970000
1864,"Science Fiction",Macmillan,Intermediate,3.840000
1864,"Literary Fiction","Random House LLC",Excellent,4.170000
1868,Classics,"Penguin Group (USA) LLC",Excellent,4.180000
1869,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.860000
1871,Fantasy,"Simon and Schuster Digital Sales Inc",Excellent,4.060000
1871,"Historical Fiction","Penguin Group (USA) LLC",Novice,3.210000
1871,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.930000
1872,Adventure,"Penguin Group (USA) LLC",Intermediate,3.900000
1874,Classics,HarperCollins,Intermediate,3.920000
1879,Classics,"Hachette Book Group",Intermediate,3.690000
1880,"Children's Literature","Penguin Group (USA) LLC",Intermediate,3.970000
1881,Classics,"Random House LLC",Intermediate,3.840000
1883,Essays/Journalism,"Penguin Group (USA) LLC",Excellent,4.050000
1886,Thriller,"Random House LLC",Intermediate,3.940000
1890,Essays/Journalism,"Amazon Digital Services,  Inc.",Excellent,4.210000
1891,"Literary Fiction","Hachette Book Group",Intermediate,3.770000
1891,Crime,"Amazon Digital Services,  Inc.",Excellent,4.220000
1894,Mystery,"Penguin Group (USA) LLC",Famous,4.500000
1894,Crime,HarperCollins,Excellent,4.320000
1894,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,3.940000
1896,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.720000
1897,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.800000
1897,"Science Fiction",Macmillan,Intermediate,3.620000
1899,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.630000
1901,"Children's Literature","Penguin Group (USA) LLC",Intermediate,4.170000
1902,Mystery,Macmillan,Intermediate,4.090000
1902,Biography/Autobiography/Memoir,"Amazon Digital Services,  Inc.",Intermediate,4.070000
1905,"Children's Literature","Random House LLC",Intermediate,4.200000
1905,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.940000
1905,Adventure,"Hachette Book Group",Excellent,4.060000
1905,Classics,"Simon and Schuster Digital Sales Inc",Excellent,4.070000
1906,Adventure,"Random House LLC",Intermediate,3.940000
1906,"Literary Fiction","Random House LLC",Intermediate,3.720000
1908,"Children's Literature","Random House LLC",Famous,4.420000
1908,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.910000
1908,"Children's Literature","Penguin Group (USA) LLC",Intermediate,3.980000
1909,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.210000
1909,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.970000
1911,"Literary Fiction",HarperCollins,Novice,3.350000
1912,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.900000
1914,Mystery,"Random House LLC",Famous,4.460000
1914,"Literary Fiction","Random House LLC",Intermediate,3.850000
1915,"Young Adult","Random House LLC",Excellent,4.210000
1916,Classics,"Random House LLC",Intermediate,3.600000
1918,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.760000
1920,Mystery,"Amazon Digital Services,  Inc.",Intermediate,3.980000
1920,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.930000
1922,"Children's Literature","Random House LLC",Intermediate,4.290000
1922,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.740000
1925,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.880000
1926,Mystery,"Amazon Digital Services,  Inc.",Excellent,4.200000
1927,"Literary Fiction","Amazon Digital Services,  Inc.",Excellent,4.110000
1927,Classics,Macmillan,Intermediate,3.760000
1928,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.360000
1929,"Literary Fiction","Hachette Book Group",Intermediate,3.860000
1930,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.150000
1930,Mystery,HarperCollins,Excellent,4.030000
1930,Mystery,"Hachette Book Group",Intermediate,3.920000
1930,"Literary Fiction",HarperCollins,Intermediate,3.720000
1931,"Self-Help & Instruction","Hachette Book Group",Excellent,4.140000
1932,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.160000
1932,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,4.160000
1933,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.830000
1934,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.050000
1934,Mystery,"Amazon Digital Services,  Inc.",Intermediate,4.160000
1935,"Historical Fiction",HarperCollins,Intermediate,4.180000
1937,Classics,HarperCollins,Excellent,4.190000
1937,"Self-Help & Instruction","Amazon Digital Services,  Inc.",Intermediate,4.170000
1938,"Young Adult","Amazon Digital Services,  Inc.",Excellent,4.120000
1938,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.620000
1939,Crime,"Amazon Digital Services,  Inc.",Excellent,4.040000
1939,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.220000
1940,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.965000
1941,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.130000
1941,"Children's Literature",HarperCollins,Excellent,4.210000
1942,"Children's Literature","Simon and Schuster Digital Sales Inc",Excellent,4.090000
1945,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.830000
1945,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.110000
1945,Fantasy,"Penguin Group (USA) LLC",Excellent,4.280000
1945,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,3.880000
1945,"Literary Fiction",HarperCollins,Excellent,4.020000
1947,"Children's Literature","Amazon Digital Services,  Inc.",Novice,3.410000
1947,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.970000
1948,"Children's Literature","Simon and Schuster Digital Sales Inc",Intermediate,4.280000
1949,Classics,"Penguin Group (USA) LLC",Novice,3.490000
1950,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,4.120000
1950,"Self-Help & Instruction","Hachette Book Group",Intermediate,3.830000
1950,"Science Fiction","Amazon Digital Services,  Inc.",Excellent,4.260000
1952,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.840000
1952,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,4.200000
1952,Fantasy,"Hachette Book Group",Excellent,4.020000
1952,"Self-Help & Instruction","Amazon Digital Services,  Inc.",Excellent,4.080000
1952,Classics,"Penguin Group (USA) LLC",Intermediate,3.810000
1953,Fantasy,"Hachette Book Group",Intermediate,3.950000
1953,"Children's Literature","Random House LLC",Intermediate,4.330000
1953,"Self-Help & Instruction","Amazon Digital Services,  Inc.",Excellent,4.140000
1953,"Science Fiction","Amazon Digital Services,  Inc.",Excellent,4.090000
1953,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,4.190000
1953,"Science Fiction",HarperCollins,Excellent,4.310000
1954,Fantasy,"Penguin Group (USA) LLC",Intermediate,3.900000
1954,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.160000
1954,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.990000
1955,"Children's Literature","Random House LLC",Intermediate,3.970000
1955,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.240000
1956,Essays/Journalism,HarperCollins,Excellent,4.140000
1956,"Young Adult",Macmillan,Excellent,4.060000
1956,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,4.020000
1957,"Literary Fiction",HarperCollins,Excellent,4.030000
1958,Fantasy,Macmillan,Excellent,4.080000
1958,"Historical Fiction","Penguin Group (USA) LLC",Intermediate,3.970000
1958,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.915000
1958,Biography/Autobiography/Memoir,"Amazon Digital Services,  Inc.",Excellent,4.090000
1958,"Historical Fiction","Random House LLC",Excellent,4.330000
1959,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.560000
1959,"Science Fiction","Hachette Book Group",Intermediate,3.990000
1959,"Literary Fiction","Amazon Digital Services,  Inc.",Novice,3.460000
1959,"Science Fiction","Amazon Digital Services,  Inc.",Excellent,4.160000
1959,"Historical Fiction","Amazon Digital Services,  Inc.",Excellent,4.180000
1959,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.970000
1960,"Children's Literature","Penguin Group (USA) LLC",Intermediate,4.160000
1960,"Historical Fiction",HarperCollins,Excellent,4.150000
1960,"Children's Literature","Simon and Schuster Digital Sales Inc",Intermediate,4.120000
1961,"Literary Fiction","Penguin Group (USA) LLC",Intermediate,3.890000
1961,"Children's Literature","Penguin Group (USA) LLC",Excellent,4.080000
1961,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,4.220000
1962,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.130000
1962,Classics,"Hachette Book Group",Intermediate,3.940000
1962,"Science Fiction","Hachette Book Group",Intermediate,3.660000
1963,"Young Adult","Penguin Group (USA) LLC",Excellent,4.150000
1964,Biography/Autobiography/Memoir,"Penguin Group (USA) LLC",Excellent,4.040000
1965,Biography/Autobiography/Memoir,"Random House LLC",Intermediate,4.290000
1966,Classics,"Random House LLC",Excellent,4.060000
1966,"Science Fiction","Penguin Group (USA) LLC",Excellent,4.170000
1967,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.960000
1967,"Literary Fiction","Amazon Digital Services,  Inc.",Excellent,4.030000
1967,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.150000
1967,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,4.320000
1967,"Children's Literature","Hachette Book Group",Intermediate,4.190000
1968,Essays/Journalism,"Amazon Digital Services,  Inc.",Intermediate,3.920000
1968,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.140000
1968,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,3.990000
1969,"Science Fiction","Random House LLC",Excellent,4.050000
1969,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.860000
1970,"Young Adult","Amazon Digital Services,  Inc.",Intermediate,3.890000
1970,"Children's Literature",HarperCollins,Excellent,4.180000
1970,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.895000
1970,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.960000
1971,Thriller,"Amazon Digital Services,  Inc.",Excellent,4.250000
1971,"Children's Literature","Amazon Digital Services,  Inc.",Famous,4.450000
1971,"Literary Fiction",HarperCollins,Excellent,4.010000
1971,Horror,"Amazon Digital Services,  Inc.",Intermediate,4.140000
1971,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.130000
1972,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.110000
1972,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.220000
1972,"Children's Literature","Penguin Group (USA) LLC",Excellent,4.090000
1972,"Self-Help & Instruction","Penguin Group (USA) LLC",Excellent,4.310000
1972,"Historical Fiction","Amazon Digital Services,  Inc.",Excellent,4.310000
1973,"Literary Fiction",HarperCollins,Intermediate,3.990000
1973,"Science Fiction","Amazon Digital Services,  Inc.",Excellent,4.065000
1973,Fantasy,"Amazon Digital Services,  Inc.",Famous,4.590000
1974,"Science Fiction","Amazon Digital Services,  Inc.",Excellent,4.150000
1974,"Self-Help & Instruction","Amazon Digital Services,  Inc.",Intermediate,3.760000
1974,Crime,"Amazon Digital Services,  Inc.",Intermediate,4.000000
1974,"Historical Fiction","Amazon Digital Services,  Inc.",Excellent,4.300000
1974,Horror,"Simon and Schuster Digital Sales Inc",Intermediate,3.960000
1975,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,3.850000
1975,"Historical Fiction","Hachette Book Group",Excellent,4.370000
1975,Classics,HarperCollins,Novice,3.420000
1976,"Young Adult","Hachette Book Group",Intermediate,3.790000
1976,"Historical Fiction",Macmillan,Famous,4.420000
1976,"Science Fiction","Amazon Digital Services,  Inc.",Excellent,4.110000
1976,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.900000
1977,Fantasy,"Random House LLC",Intermediate,3.870000
1977,Horror,"Hachette Book Group",Intermediate,3.820000
1977,"Children's Literature","Penguin Group (USA) LLC",Excellent,4.260000
1978,Adventure,"Amazon Digital Services,  Inc.",Excellent,4.160000
1978,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.130000
1978,"Children's Literature","Penguin Group (USA) LLC",Excellent,4.145000
1978,"Self-Help & Instruction","Amazon Digital Services,  Inc.",Excellent,4.030000
1978,"Young Adult","Amazon Digital Services,  Inc.",Excellent,4.030000
1978,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.960000
1979,"Historical Fiction","Amazon Digital Services,  Inc.",Excellent,4.180000
1979,Horror,HarperCollins,Intermediate,3.900000
1979,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.170000
1979,Thriller,"Hachette Book Group",Excellent,4.110000
1979,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.790000
1979,Thriller,"Amazon Digital Services,  Inc.",Excellent,4.270000
1980,"Science Fiction","Penguin Group (USA) LLC",Excellent,4.350000
1980,"Children's Literature","Random House LLC",Intermediate,3.940000
1980,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,3.890000
1980,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.920000
1980,"Science Fiction","Penguin Group (USA) LLC",Intermediate,4.220000
1980,"Literary Fiction","Amazon Digital Services,  Inc.",Excellent,4.040000
1980,Thriller,"Random House LLC",Intermediate,3.550000
1980,Essays/Journalism,"Amazon Digital Services,  Inc.",Intermediate,4.070000
1980,Horror,Macmillan,Intermediate,3.850000
1981,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.650000
1981,"Self-Help & Instruction","Amazon Digital Services,  Inc.",Intermediate,3.850000
1981,"Historical Fiction","Amazon Digital Services,  Inc.",Intermediate,3.990000
1981,"Literary Fiction","Simon and Schuster Digital Sales Inc",Intermediate,3.950000
1982,Fantasy,"Random House LLC",Excellent,4.170000
1982,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,4.120000
1982,"Literary Fiction","Amazon Digital Services,  Inc.",Excellent,4.160000
1982,"Science Fiction","Hachette Book Group",Intermediate,4.190000
1982,"Historical Fiction","Amazon Digital Services,  Inc.",Intermediate,4.340000
1982,Crime,"Amazon Digital Services,  Inc.",Intermediate,3.820000
1982,"Literary Fiction","Simon and Schuster Digital Sales Inc",Intermediate,4.270000
1982,"Self-Help & Instruction",HarperCollins,Excellent,4.010000
1983,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.130000
1983,"Young Adult","Penguin Group (USA) LLC",Excellent,4.270000
1983,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.720000
1984,Biography/Autobiography/Memoir,"Amazon Digital Services,  Inc.",Excellent,4.290000
1984,Horror,"Amazon Digital Services,  Inc.",Intermediate,3.660000
1984,Fantasy,"Simon and Schuster Digital Sales Inc",Excellent,4.030000
1984,"Historical Fiction","Random House LLC",Intermediate,3.990000
1984,Horror,"Amazon Digital Services,  Inc.",Excellent,4.120000
1984,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.205000
1984,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.570000
1984,"Science Fiction",HarperCollins,Excellent,4.080000
1985,"Historical Fiction","Amazon Digital Services,  Inc.",Famous,4.470000
1985,"Science Fiction","Random House LLC",Excellent,4.110000
1985,"Historical Fiction","Penguin Group (USA) LLC",Excellent,4.180000
1985,Horror,"Random House LLC",Intermediate,3.930000
1985,"Literary Fiction","Amazon Digital Services,  Inc.",Excellent,4.150000
1985,"Literary Fiction","Amazon Digital Services,  Inc.",Intermediate,3.953333
1985,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.290000
1985,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,4.050000
1985,Biography/Autobiography/Memoir,"Random House LLC",Excellent,4.040000
1986,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.340000
1986,Fantasy,"Amazon Digital Services,  Inc.",Excellent,4.300000
1986,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,3.940000
1986,Crime,"Amazon Digital Services,  Inc.",Excellent,4.100000
1986,Action,"Amazon Digital Services,  Inc.",Intermediate,4.250000
1986,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.110000
1986,Biography/Autobiography/Memoir,"Amazon Digital Services,  Inc.",Famous,4.530000
1986,Thriller,"Penguin Group (USA) LLC",Intermediate,4.090000
1986,Horror,"Amazon Digital Services,  Inc.",Excellent,4.240000
1987,Action,HarperCollins,Intermediate,4.230000
1987,Thriller,"Amazon Digital Services,  Inc.",Excellent,4.040000
1987,Fantasy,HarperCollins,Intermediate,4.075000
1987,"Science Fiction","Amazon Digital Services,  Inc.",Intermediate,3.970000
1987,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,4.110000
1987,Thriller,"Amazon Digital Services,  Inc.",Intermediate,4.110000
1987,"Science Fiction","Random House LLC",Intermediate,3.770000
1987,"Literary Fiction","Amazon Digital Services,  Inc.",Excellent,4.130000
1987,Horror,"Amazon Digital Services,  Inc.",Intermediate,4.160000
1987,Crime,"Random House LLC",Intermediate,3.750000
1987,Biography/Autobiography/Memoir,"Penguin Group (USA) LLC",Famous,4.610000
1987,Horror,"Amazon Digital Services,  Inc.",Famous,3.480000
1988,Action,"Random House LLC",Intermediate,4.360000
1988,Fantasy,"Amazon Digital Services,  Inc.",Intermediate,3.860000
1988,"Children's Literature","Amazon Digital Services,  Inc.",Famous,4.650000
